"Date	ALU.AX	BEN.AX	BKL.AX	BKW.AX	CMW.AX	CQR.AX	FBU.AX	FLT.AX	FXJ.AX	HVN.AX	IAG.AX	IOF.AX	IRE.AX	NCM.AX	NVT.AX	OSH.AX	QAN.AX	SRX.AX	SUL.AX	TNE.AX	TPM.AX"
"8/02/2006	0.191247	4.406586	6.946654	7.086238	0.263765	5.732631	3.537645	5.713409	0.994162	1.471079	2.143839	3.124846	2.111443	20.801144	0.921979	3.013974	2.864372	1.756346	1.078147	0.300221	0.42175"
"9/02/2006	0.196544	4.343541	7.043136	7.225185	0.271522	5.718156	3.563651	5.834301	0.994162	1.489412	2.143839	3.091366	2.088241	20.383505	0.946897	2.938833	2.914251	1.739043	1.078147	0.300221	0.42175"
"12/02/2006	0.199987	4.343541	6.994894	7.069564	0.288977	5.747108	3.688512	6.070825	0.977064	1.461917	2.096722	3.102522	2.083602	19.684776	0.946897	2.913787	2.935628	1.756346	1.10109	0.29486	0.424042"
"13/02/2006	0.196544	4.368065	6.994894	7.069564	0.273463	5.747108	3.662497	6.144412	0.979506	1.493996	2.163471	3.124846	2.088241	19.853432	0.946897	2.955531	2.921377	1.730391	1.10109	0.284137	0.42175"
"14/02/2006	0.196544	4.424092	6.970775	7.086238	0.271522	5.732631	3.537645	6.22851	0.974623	1.512328	2.128134	3.113685	2.088241	19.259104	0.971816	2.922136	2.885749	1.704435	1.128618	0.284137	0.426335"
"15/02/2006	0.182753	4.550217	6.946654	7.086238	0.259885	5.77606	3.63649	6.25479	0.962407	1.530656	2.120281	3.147165	2.051117	19.010134	1.001718	2.813599	2.821619	1.704435	1.146967	0.29486	0.42175"
"16/02/2006	0.193094	4.564216	6.941829	7.086238	0.287036	5.732631	3.605275	6.307351	0.952637	1.52149	2.104575	3.091366	2.051117	18.897692	1.006701	2.88874	2.83587	1.730391	1.156141	0.284137	0.42175"
"19/02/2006	0.203436	4.71132	6.946654	7.086238	0.287036	5.674726	3.657296	6.233767	0.964853	1.516907	2.135987	3.102522	2.018633	19.917686	1.026636	2.997276	2.878624	1.90343	1.142377	0.284137	0.435505"
"20/02/2006	0.203436	4.819939	6.84535	7.086238	0.28316	5.616821	3.652095	6.475548	0.994162	1.530656	2.155619	3.091366	2.027915	19.564302	1.036603	3.139209	2.878624	2.154336	1.142377	0.29486	0.458422"
"21/02/2006	0.203436	4.798924	6.826054	7.086238	0.263765	5.616821	3.693713	6.517596	0.979506	1.544407	2.143839	3.113685	2.018633	19.516109	1.03162	3.130859	2.914251	2.059165	1.183669	0.300221	0.435505"
"22/02/2006	0.203436	4.816431	6.826054	7.091795	0.271522	5.645772	3.73013	6.275811	0.969736	1.553573	2.155619	3.158328	2.106805	17.733225	1.011685	3.089115	2.964123	2.059165	1.174495	0.29486	0.459783"
"23/02/2006	0.206886	4.819939	6.777811	7.225185	0.267642	5.718156	3.709323	6.175949	0.957524	1.544407	2.112428	3.147165	2.092884	16.777491	1.036603	3.072417	2.978374	1.98995	1.124029	0.289499	0.442378"
"26/02/2006	0.206886	5.195687	6.946654	7.225185	0.267642	5.703678	3.698914	5.979702	0.959966	1.594818	2.108501	3.191807	2.227457	17.082684	1.021652	3.089115	2.914251	1.98995	1.156141	0.300221	0.446963"
"27/02/2006	0.206886	5.123968	6.874291	7.391919	0.279279	5.747108	3.667705	6.017412	0.969736	1.603985	2.116354	3.214126	2.241378	17.026464	1.036603	3.039022	2.921377	1.98995	1.192844	0.300221	0.43092"
"28/02/2006	0.206886	4.948281	7.125144	7.503075	0.279279	5.703678	3.672907	6.098218	0.957524	1.54899	2.061384	3.214126	2.143928	16.865835	1.011685	3.072417	2.878624	1.946689	1.128618	0.29486	0.444671"
"1/03/2006	0.220677	5.034329	7.157696	7.503075	0.271522	5.732631	3.73013	6.459155	0.957524	1.576485	2.160378	3.269925	2.246022	16.986303	1.021652	3.122511	2.980352	1.920734	1.124029	0.29486	0.449256"
"2/03/2006	0.234469	4.966201	7.03386	7.530865	0.275403	5.732631	3.698914	6.399899	0.962407	1.558157	2.111463	3.236444	2.25066	17.468189	1.011685	3.155906	2.987748	1.946689	1.110264	0.29486	0.451549"
"5/03/2006	0.213785	5.02	7.093302	7.530865	0.275403	5.77606	3.667705	6.249058	0.952637	1.530656	2.078853	3.247607	2.241378	17.468189	1.021652	3.247902	2.958165	2.033209	1.082736	0.300423	0.451549"
"6/03/2006	0.217228	4.93036	7.157696	7.591999	0.269582	5.790537	3.646893	6.302929	0.964853	1.493996	2.08293	3.258769	2.246022	16.986303	1.026636	3.145874	2.935979	2.033209	1.099325	0.300423	0.444671"
"7/03/2006	0.217228	5.084535	7.147788	7.730948	0.271522	5.77606	3.709323	6.529189	0.974623	1.471079	2.042168	3.258769	2.246022	16.351818	1.03162	3.06085	2.913791	1.98995	1.099325	0.300423	0.426335"
"8/03/2006	0.234469	5.02	7.142836	8.114437	0.271522	5.77606	3.756142	6.3568	1.002889	1.480245	2.091082	3.281086	2.283727	16.464266	1.021652	3.069352	2.935979	1.955341	1.099325	0.300423	0.42175"
"9/03/2006	0.245373	4.96261	7.22209	7.919913	0.279279	5.718156	3.740537	6.464544	1.000332	1.631479	2.087005	3.269925	2.283727	16.480318	1.03162	3.120367	2.87682	2.041861	1.113359	0.305987	0.428628"
"12/03/2006	0.237918	5.02	7.301343	8.05886	0.275403	5.761584	3.81337	6.534575	1.013122	1.759798	2.152225	3.292249	2.293343	17.106771	1.036603	3.145874	2.891604	2.041861	1.104005	0.31155	0.42175"
"13/03/2006	0.224127	5.023591	7.256762	7.575327	0.275403	5.77606	3.818572	6.329866	1.041263	1.727719	2.152225	3.258769	2.283727	16.785519	1.026636	3.171381	2.862028	2.033209	1.099325	0.322677	0.42175"
"14/03/2006	0.213785	5.00208	7.281532	7.453055	0.28122	5.790537	3.839383	6.416058	1.038706	1.718552	2.160378	3.258769	2.278921	16.865835	1.026636	3.230897	2.854633	2.154336	1.104005	0.322677	0.42175"
"15/03/2006	0.203436	5.041512	7.306298	7.297435	0.287036	5.877393	3.912217	6.410671	1.03103	1.713969	2.172605	3.269925	2.283727	16.986303	1.036603	3.307418	2.869424	2.465807	1.085296	0.32824	0.417164"
"16/03/2006	0.213785	5.055841	7.231997	7.275205	0.28316	5.964253	3.8758	6.152091	1.020798	1.741469	2.184834	3.269925	2.269304	16.5767	1.056538	3.315921	2.780676	2.431199	1.108685	0.333803	0.414872"
"19/03/2006	0.213785	5.073798	7.236949	7.225185	0.288977	5.964253	3.929421	6.195187	1.015679	1.736885	2.209291	3.281086	2.341422	16.616858	1.056538	3.324423	2.765884	2.552326	1.089971	0.339367	0.417164"
"20/03/2006	0.206886	5.02	7.231997	7.175164	0.302554	5.848442	3.950777	6.114379	1.01824	1.773547	2.201139	3.258769	2.288538	16.697172	1.056538	3.290414	2.728906	2.474458	1.09465	0.34493	0.39195"
"21/03/2006	0.210336	4.991305	7.231997	7.286318	0.302554	5.877393	3.88671	6.275994	1.036149	1.782714	2.213367	3.258769	2.283727	16.865835	1.046571	3.400945	2.751093	2.361983	1.085296	0.356057	0.419457"
"22/03/2006	0.220114	5.163436	7.241903	7.280762	0.302554	5.877393	3.913406	6.243672	1.03103	1.833121	2.180758	3.258769	2.307766	16.705206	1.071489	3.38394	2.743698	2.422547	1.085296	0.36162	0.426335"
"23/03/2006	0.206886	5.080944	7.281532	7.286318	0.302554	5.819489	3.90273	6.087444	1.008003	1.814792	2.18891	3.258769	2.317382	16.512447	1.061522	3.366935	2.699324	2.595586	1.099325	0.367184	0.428628"
"26/03/2006	0.224127	5.152664	7.281532	7.197393	0.298674	5.848442	3.892048	6.114379	1.005446	1.814792	2.213367	3.214878	2.379884	16.737328	1.056538	3.400945	2.765884	2.725366	1.099325	0.372747	0.435505"
"27/03/2006	0.206886	5.102457	7.306298	7.225185	0.290917	5.848442	3.865359	6.022799	1.008003	1.736885	2.209291	3.248485	2.360655	17.92598	1.08644	3.315921	2.72151	2.578282	1.104005	0.383874	0.435505"
